source,target,value
Ukraine,Poland,885303
Ukraine,Hungary,169053
Ukraine,Other European countries,157056
Ukraine,Republic of Moldova,113967
Ukraine,Slovakia,84067
Ukraine,Romania,71640
Ukraine,Russian Federation,53300
Ukraine,Belarus,406
